sitename,aqi_value,datetime,hour
Missoula,32,2024/08/02 12:00:00+00,12
Bozeman,44,2024/08/02 12:00:00+00,12
Bozeman,74,2024/08/03 12:00:00+00,12
Missoula,67,2024/08/03 12:00:00+00,12
Bozeman,67,2024/08/04 12:00:00+00,12
Missoula,69,2024/08/04 12:00:00+00,12
Missoula,31,2024/08/05 12:00:00+00,12
Bozeman,61,2024/08/05 12:00:00+00,12
Missoula,18,2024/08/06 12:00:00+00,12
Bozeman,42,2024/08/06 12:00:00+00,12
Missoula,47,2024/08/07 12:00:00+00,12
Bozeman,52,2024/08/07 12:00:00+00,12
Missoula,39,2024/08/08 12:00:00+00,12
Bozeman,14,2024/08/08 12:00:00+00,12
Bozeman,45,2024/08/10 12:00:00+00,12
Missoula,55,2024/08/10 12:00:00+00,12
Missoula,23,2024/08/11 12:00:00+00,12
Bozeman,8,2024/08/11 12:00:00+00,12
Bozeman,49,2024/08/13 12:00:00+00,12
Missoula,63,2024/08/13 12:00:00+00,12
Bozeman,58,2024/08/14 12:00:00+00,12
Missoula,53,2024/08/14 12:00:00+00,12
Bozeman,58,2024/08/15 12:00:00+00,12
Missoula,45,2024/08/15 12:00:00+00,12
Missoula,27,2024/08/17 12:00:00+00,12
Bozeman,53,2024/08/17 12:00:00+00,12
Bozeman,31,2024/08/18 12:00:00+00,12
Missoula,31,2024/08/18 12:00:00+00,12
Missoula,27,2024/08/19 12:00:00+00,12
Bozeman,32,2024/08/19 12:00:00+00,12
Missoula,16,2024/08/20 12:00:00+00,12
Bozeman,35,2024/08/20 12:00:00+00,12
Bozeman,18,2024/08/21 12:00:00+00,12
Missoula,21,2024/08/21 12:00:00+00,12
Missoula,8,2024/08/22 12:00:00+00,12
Bozeman,36,2024/08/22 12:00:00+00,12
Missoula,29,2024/08/23 12:00:00+00,12
Bozeman,20,2024/08/23 12:00:00+00,12
Bozeman,84,2024/08/25 12:00:00+00,12
Missoula,5,2024/08/25 12:00:00+00,12
Bozeman,58,2024/08/26 12:00:00+00,12
Missoula,25,2024/08/26 12:00:00+00,12
Bozeman,4,2024/08/27 12:00:00+00,12
Missoula,25,2024/08/27 12:00:00+00,12
Bozeman,38,2024/08/29 12:00:00+00,12
Missoula,15,2024/08/29 12:00:00+00,12
Missoula,9,2024/08/30 12:00:00+00,12
Bozeman,32,2024/08/30 12:00:00+00,12
Bozeman,25,2024/08/31 12:00:00+00,12
Missoula,26,2024/08/31 12:00:00+00,12
Bozeman,11,2025/08/01 12:00:00+00,12
Missoula,10,2025/08/01 12:00:00+00,12
Bozeman,16,2025/08/03 12:00:00+00,12
Missoula,25,2025/08/03 12:00:00+00,12
Bozeman,2,2025/08/04 12:00:00+00,12
Missoula,30,2025/08/04 12:00:00+00,12
Missoula,23,2025/08/05 12:00:00+00,12
Bozeman,24,2025/08/05 12:00:00+00,12
Missoula,24,2025/08/06 12:00:00+00,12
Bozeman,20,2025/08/06 12:00:00+00,12
Missoula,9,2025/08/07 12:00:00+00,12
Bozeman,25,2025/08/07 12:00:00+00,12
Missoula,7,2025/08/09 12:00:00+00,12
Bozeman,39,2025/08/09 12:00:00+00,12
Missoula,19,2025/08/10 12:00:00+00,12
Bozeman,27,2025/08/10 12:00:00+00,12
Missoula,18,2025/08/11 12:00:00+00,12
Bozeman,52,2025/08/11 12:00:00+00,12
Missoula,30,2025/08/13 12:00:00+00,12
Bozeman,54,2025/08/13 12:00:00+00,12
Missoula,48,2025/08/14 12:00:00+00,12
Bozeman,27,2025/08/14 12:00:00+00,12
Missoula,16,2025/08/15 12:00:00+00,12
Bozeman,34,2025/08/15 12:00:00+00,12
Missoula,24,2025/08/16 12:00:00+00,12
Bozeman,35,2025/08/16 12:00:00+00,12
Missoula,9,2025/08/18 12:00:00+00,12
Bozeman,54,2025/08/18 12:00:00+00,12
Missoula,32,2025/08/19 12:00:00+00,12
Bozeman,20,2025/08/19 12:00:00+00,12
Bozeman,29,2025/08/20 12:00:00+00,12
Missoula,27,2025/08/20 12:00:00+00,12
Missoula,57,2025/08/22 12:00:00+00,12
Bozeman,23,2025/08/22 12:00:00+00,12
Bozeman,38,2025/08/24 12:00:00+00,12
Missoula,27,2025/08/24 12:00:00+00,12
Bozeman,20,2025/08/25 12:00:00+00,12
Missoula,57,2025/08/25 12:00:00+00,12
Missoula,38,2025/08/26 12:00:00+00,12
Bozeman,15,2025/08/26 12:00:00+00,12
Bozeman,24,2025/08/27 12:00:00+00,12
Missoula,44,2025/08/27 12:00:00+00,12
Missoula,8,2025/08/28 12:00:00+00,12
Bozeman,30,2025/08/28 12:00:00+00,12
Missoula,49,2025/08/29 12:00:00+00,12
Bozeman,14,2025/08/29 12:00:00+00,12
Missoula,24,2025/08/30 12:00:00+00,12
Bozeman,32,2025/08/30 12:00:00+00,12
Bozeman,53,2025/08/31 12:00:00+00,12
Missoula,72,2025/08/31 12:00:00+00,12
